id,name,slug,domain,course_id,description,difficulty,value,is_active,created_at
20,Forgetful Gemsmith,forgetful-gemsmith,codecombat.com,560f1a9f22961295f9427742,There are gems scattered all over the dungeons in Kithgard!,easy,1,1,2025-02-04 10:53:46
21,Favorable Odds,favorable-odds,codecombat.com,560f1a9f22961295f9427742,Two ogres bar your passage out of the dungeon.,easy,1,1,2025-02-04 10:53:46
22,Kounter Kithwise,kounter-kithwise,codecombat.com,560f1a9f22961295f9427742,Keep out of sight of the ogre patrol.,easy,1,1,2025-02-04 10:53:46
23,Fire Dancing,fire-dancing,codecombat.com,560f1a9f22961295f9427742,Save typing (and your hero) with loops!,easy,1,1,2025-02-04 10:53:46
24,Riddling Kithmaze,riddling-kithmaze,codecombat.com,560f1a9f22961295f9427742,"If at first you go astray, change your loop to find the way.",easy,1,1,2025-02-04 10:53:46
25,The Prisoner,the-prisoner,codecombat.com,560f1a9f22961295f9427742,Free the prisoner and you'll gain an ally.,easy,1,1,2025-02-04 10:53:46
26,Dungeons of Kithgard,dungeons-of-kithgard,codecombat.com,560f1a9f22961295f9427742,"Grab the gem and escape the dungeon—but don’t run into anything else. In this level, you’ll learn basic movements for your hero.",easy,1,1,2025-02-04 10:53:46
27,Radiant Aura,radiant-aura,codecombat.com,560f1a9f22961295f9427742,"Skeletons. Fearsome, or fearful?",easy,1,1,2025-02-04 10:53:46
28,Gems in the Deep,gems-in-the-deep,codecombat.com,560f1a9f22961295f9427742,Quickly collect the gems; you will need them.,easy,1,1,2025-02-04 10:53:46
29,Illusory Interruption,illusory-interruption,codecombat.com,560f1a9f22961295f9427742,"Distract the guards, then escape.",easy,1,1,2025-02-04 10:53:46
30,Kithgard Librarian,kithgard-librarian,codecombat.com,560f1a9f22961295f9427742,Seek help from a friendly Librarian!,easy,1,1,2025-02-04 10:53:46
31,Sleep Hour,sleep-hour,codecombat.com,560f1a9f22961295f9427742,Use all of your programming prowess to puzzle past peril!,easy,1,1,2025-02-04 10:53:46
32,Shadow Guard,shadow-guard,codecombat.com,560f1a9f22961295f9427742,Evade the charging ogre to grab the gems and get to the other side safely. Watch out for the spikes!,easy,1,1,2025-02-04 10:53:46
33,True Names,true-names,codecombat.com,560f1a9f22961295f9427742,Learn an enemy's true name to defeat it.,easy,1,1,2025-02-04 10:53:46
34,Dangerous Steps,dangerous-steps,codecombat.com,560f1a9f22961295f9427742,Use strings to defeat ogres.,easy,1,1,2025-02-04 10:53:46
35,Cell Commentary,cell-commentary,codecombat.com,560f1a9f22961295f9427742,Trapped in a prison cell with the famous wizard! Say the password to get wizards's help.,easy,1,1,2025-02-04 10:53:46
36,Enemy Mine,enemy-mine,codecombat.com,560f1a9f22961295f9427742,Tread carefully. Danger is afoot!,easy,1,1,2025-02-04 10:53:46
37,Long Steps,long-steps,codecombat.com,560f1a9f22961295f9427742,Using movement commands with arguments.,easy,1,1,2025-02-04 10:53:46
38,Careful Steps,careful-steps,codecombat.com,560f1a9f22961295f9427742,Basic movement commands.,easy,1,1,2025-02-04 10:53:46
39,Picnic Buster,picnic-buster,codecombat.com,5632661322961295f9428638,Protect the picnickers from patrolling ogres.,easy,1,1,2025-02-04 10:53:47
40,If-stravaganza,if-stravaganza,codecombat.com,5632661322961295f9428638,"Surrounded on all sides by incoming ogres! Wait for the right time to attack, then strike!",easy,1,1,2025-02-04 10:53:47
41,Patrol Buster,patrol-buster,codecombat.com,5632661322961295f9428638,"Defeat ogre patrols with new, selective targeting skills.",easy,1,1,2025-02-04 10:53:47
42,Village Guard,village-guard,codecombat.com,5632661322961295f9428638,Defend a village from marauding munchkin mayhem.,easy,1,1,2025-02-04 10:53:47
43,Greed Traps,greed-traps,codecombat.com,5632661322961295f9428638,It is a lovely day for hunting greedy ogres.,easy,1,1,2025-02-04 10:53:47
44,Backwoods Buddy,backwoods-buddy,codecombat.com,5632661322961295f9428638,You have a pet! Train her to speak!,easy,1,1,2025-02-04 10:53:47
45,Woodland Cubbies,woodland-cubbies,codecombat.com,5632661322961295f9428638,"Navigate through the Backwoods Forest, but check every corner to ensure your safety.",easy,1,1,2025-02-04 10:53:47
46,Functional Patrol,functional-patrol,codecombat.com,5632661322961295f9428638,Use all of your programming prowess to patrol and defeat ogres.,easy,1,1,2025-02-04 10:53:47
47,Ogre Encampment,ogre-encampment,codecombat.com,5632661322961295f9428638,Recover stolen treasure from an ogre encampment.,easy,1,1,2025-02-04 10:53:47
48,Woodland Cleaver,woodland-cleaver,codecombat.com,5632661322961295f9428638,Use your new cleave ability to fend off munchkins.,easy,1,1,2025-02-04 10:53:47
49,Gem Berries,gem-berries,codecombat.com,5632661322961295f9428638,Use XY coordinates to move.,easy,1,1,2025-02-04 10:53:47
50,Closed Crossroad,closed-crossroad,codecombat.com,5632661322961295f9428638,A fence? A trap? It depends on the location and the function of course.,easy,1,1,2025-02-04 10:53:47
51,Thornbush Farm,thornbush-farm,codecombat.com,5632661322961295f9428638,Determine refugee peasant from ogre when defending the farm.,easy,1,1,2025-02-04 10:53:47
52,Back to Back,back-to-back,codecombat.com,5632661322961295f9428638,"Patrol the village entrances, but stay defensive.",easy,1,1,2025-02-04 10:53:47
53,Buddy's Name,buddys-name,codecombat.com,5632661322961295f9428638,"You have a pet, but what is its name? Let's ask.",easy,1,1,2025-02-04 10:53:47
54,Elseweyr,elseweyr,codecombat.com,5632661322961295f9428638,"The munchkins are so friendly, always.",easy,1,1,2025-02-04 10:53:47
55,Forest Evasion,forest-evasion,codecombat.com,5632661322961295f9428638,A headhunter has heard of the hero's harrowing tale and has come to claim their head!,easy,1,1,2025-02-04 10:53:47
56,Eagle Eye,eagle-eye,codecombat.com,5632661322961295f9428638,Spot the ogres with help from an eagle-eyed baby griffin!,easy,1,1,2025-02-04 10:53:47
57,Last Cannon,last-cannon,codecombat.com,5632661322961295f9428638,Define and use a function with multiple parameters.,easy,1,1,2025-02-04 10:53:47
58,Sacred Glade,sacred-glade,codecombat.com,5632661322961295f9428638,Use an if-else statement to protect the glade.,easy,1,1,2025-02-04 10:53:47
59,Buddy's Name A,buddys-name-a,codecombat.com,5632661322961295f9428638,"You have a pet, but what is its name? Let's ask.",easy,1,1,2025-02-04 10:53:47
60,Agrippa Refactored,agrippa-refactored,codecombat.com,5632661322961295f9428638,Improve your code by refactoring it into functions.,easy,1,1,2025-02-04 10:53:47
61,One Wrong Step,one-wrong-step,codecombat.com,5632661322961295f9428638,"Mines, and gems, and a bear! Navigate the forest and watch your step.",easy,1,1,2025-02-04 10:53:47
62,Patrol Buster A,patrol-buster-a,codecombat.com,5632661322961295f9428638,"Defeat ogre patrols with new, selective targeting skills.",easy,1,1,2025-02-04 10:53:47
63,Backwoods Ambush,backwoods-ambush,codecombat.com,5632661322961295f9428638,Conditionally ambush some ogre sentries in the backwoods.,easy,1,1,2025-02-04 10:53:47
64,Cleanup,cleanup,codecombat.com,5632661322961295f9428638,Use conditional (if) statements to check if enemies exist.,easy,1,1,2025-02-04 10:53:47
65,Phd Kitty,phd-kitty,codecombat.com,5632661322961295f9428638,Impress peasants with the smartest cougar pet.,easy,1,1,2025-02-04 10:53:47
66,Backwoods Standoff B,backwoods-standoff-b,codecombat.com,5632661322961295f9428638,The final camp! Hone your skills and spin to win!,easy,1,1,2025-02-04 10:53:47
67,Middle Point,middle-point,codecombat.com,5632661322961295f9428638,Use XY coordinates and if-statements to protect the village.,easy,1,1,2025-02-04 10:53:47
68,Backwoods Standoff A,backwoods-standoff-a,codecombat.com,5632661322961295f9428638,More munchkins to practice cleaving on. Roooar!,easy,1,1,2025-02-04 10:53:47
69,Backwoods Standoff,backwoods-standoff,codecombat.com,5632661322961295f9428638,"Yell and cleave your way to victory, like a real barbarian.",easy,1,1,2025-02-04 10:53:47
70,Course: Winding Trail,course-winding-trail,codecombat.com,5632661322961295f9428638,Stay alive and navigate through the forest!,easy,1,1,2025-02-04 10:53:47
71,Buddy's Name B,buddys-name-b,codecombat.com,5632661322961295f9428638,We know the pet's name. Let's learn it to be polite.,easy,1,1,2025-02-04 10:53:47
72,Return to Thornbush Farm A,return-to-thornbush-farm-a,codecombat.com,5632661322961295f9428638,"Ogres are invading again, and the only cure is more parameters!",easy,1,1,2025-02-04 10:53:47
73,Return to Thornbush Farm B,return-to-thornbush-farm-b,codecombat.com,5632661322961295f9428638,"Ogres are invading again, and again the only cure is more parameters!",easy,1,1,2025-02-04 10:53:47
74,Pet Quiz,pet-quiz,codecombat.com,5632661322961295f9428638,I think that cougar should be in a university.,easy,1,1,2025-02-04 10:53:47
75,Return to Thornbush Farm,return-to-thornbush-farm,codecombat.com,5632661322961295f9428638,"Ogres are invading again, and the only cure is more parameters!",easy,1,1,2025-02-04 10:53:47
76,Range Finder,range-finder,codecombat.com,5632661322961295f9428638,Find the distance to targets. Artillery will do the rest!,easy,1,1,2025-02-04 10:53:47
77,Free Billy,free-billy,codecombat.com,5632661322961295f9428638,Use else-if to free the trapped burl!,easy,1,1,2025-02-04 10:53:47
78,Timberland Trap,timberland-trap,codecombat.com,5632661322961295f9428638,Use a function with a parameter to avoid this forest trap.,easy,1,1,2025-02-04 10:53:47
79,Peasant Protection,peasant-protection,codecombat.com,5632661322961295f9428638,Stay close to Victor.,easy,1,1,2025-02-04 10:53:47
80,Defense of Plainswood,defense-of-plainswood,codecombat.com,5632661322961295f9428638,Protect the peasant village of Plainswood from the ogres.,easy,1,1,2025-02-04 10:53:47
81,Timely Word,timely-word,codecombat.com,5632661322961295f9428638,"Event handlers and the ""hear"" event.",easy,1,1,2025-02-04 10:53:47
82,Go Fetch,go-fetch,codecombat.com,5632661322961295f9428638,You're caught in a burl trap! Send your pet for help!,easy,1,1,2025-02-04 10:53:47
83,Munchkin Swarm,munchkin-swarm,codecombat.com,5632661322961295f9428638,Loot a gigantic chest while surrounded by a swarm of ogre munchkins.,easy,1,1,2025-02-04 10:53:47
84,Leave it to Cleaver,leave-it-to-cleaver,codecombat.com,5632661322961295f9428638,Defend the homestead with function parameters.,easy,1,1,2025-02-04 10:53:47
85,Maniac Munchkins,maniac-munchkins,codecombat.com,5632661322961295f9428638,Defend yourself while munchkins attack! Break open a chest and take the spoils.,easy,1,1,2025-02-04 10:53:47
86,Forest Fire Dancing,forest-fire-dancing,codecombat.com,5632661322961295f9428638,Only agile heroes can pass! Use nested if statements to dodge the fireballs.,easy,1,1,2025-02-04 10:53:47
87,Stillness in Motion,stillness-in-motion,codecombat.com,5632661322961295f9428638,Remain centered with nested if-statements.,easy,1,1,2025-02-04 10:53:47
88,Guard Dog,guard-dog,codecombat.com,5632661322961295f9428638,Wolves are just as good guards as dogs.,easy,1,1,2025-02-04 10:53:47
89,Brave Ogres,brave-ogres,codecombat.com,5632661322961295f9428638,Use if-else to defeat ogres that get close.,easy,1,1,2025-02-04 10:53:47
90,The Agrippa Defense,the-agrippa-defense,codecombat.com,5632661322961295f9428638,"Let the enemy close, then strike when the moment is right.",easy,1,1,2025-02-04 10:53:47
91,Forest Miners,forest-miners,codecombat.com,5632661322961295f9428638,Gem mining is dangerous work!,easy,1,1,2025-02-04 10:53:47
92,The Agrippa Defense B,the-agrippa-defense-b,codecombat.com,5632661322961295f9428638,"Let the enemy close, then strike when the moment is right.",easy,1,1,2025-02-04 10:53:47
93,Long Road,long-road,codecombat.com,5632661322961295f9428638,"Drinking unknown potions can be useful, especially in an ogre forest.",easy,1,1,2025-02-04 10:53:47
94,The Agrippa Defense A,the-agrippa-defense-a,codecombat.com,5632661322961295f9428638,"Let the enemy close, then strike when the moment is right.",easy,1,1,2025-02-04 10:53:47
95,Last Guardian,last-guardian,codecombat.com,5632661322961295f9428638,"Use if-else statements, nested if statements, and greater or less than operators to defeat the ogres.",easy,1,1,2025-02-04 10:53:47
96,Dangerous Tree,dangerous-tree,codecombat.com,5632661322961295f9428638,Use nested if statements to defeat ogres that get close.,easy,1,1,2025-02-04 10:53:47
97,Seek-and-Hide,seek-and-hide,codecombat.com,5632661322961295f9428638,You're in the ogre camp. A Brawler is in the tent near you. Ogre hunters are searching for you. Sounds impossible?,easy,1,1,2025-02-04 10:53:47
98,Village Rover,village-rover,codecombat.com,5632661322961295f9428638,Patrolling the village can get repetitive... functions make it easier!,easy,1,1,2025-02-04 10:53:47
99,Tough Bait,tough-bait,codecombat.com,5632661322961295f9428638,"The ""spawn"" event.",easy,1,1,2025-02-04 10:53:47
100,Forest Jogging,forest-jogging,codecombat.com,5632661322961295f9428638,"What is better than a morning jog? Especially, if someone else does it.",easy,1,1,2025-02-04 10:53:47
101,Silent Village,silent-village,codecombat.com,5632661322961295f9428638,Define and use a function.,easy,1,1,2025-02-04 10:53:47
102,Tomb Ghost,tomb-ghost,codecombat.com,5632661322961295f9428638,The only exit to the tomb is blocked by ogres. Hide in the shadows and attack wisely.,easy,1,1,2025-02-04 10:53:47
103,Village Warder,village-warder,codecombat.com,5632661322961295f9428638,Define more functions to defend against stronger attacks.,easy,1,1,2025-02-04 10:53:47
104,Tomb Raider,tomb-raider,codecombat.com,5632661322961295f9428638,A forgotten tomb! Time to ransack the place.,easy,1,1,2025-02-04 10:53:47
105,Village Champion,village-champion,codecombat.com,5632661322961295f9428638,Write your own function to stop the ogre invasion.,easy,1,1,2025-02-04 10:53:47
106,Forest Cannon Dancing,forest-cannon-dancing,codecombat.com,5632661322961295f9428638,Don't let the wolf get bonked by the cannon balls.,easy,1,1,2025-02-04 10:53:47
107,Backwoods Fork,backwoods-fork,codecombat.com,5632661322961295f9428638,Use a custom function with parameters to simplify your code!,easy,1,1,2025-02-04 10:53:47
108,A Fine Mint,a-fine-mint,codecombat.com,5632661322961295f9428638,Ogre Peons are trying to steal your coins! Don't let them snag your rightful earnings!,easy,1,1,2025-02-04 10:53:47
109,Sharp Bait,sharp-bait,codecombat.com,5632661322961295f9428638,Event threads.,easy,1,1,2025-02-04 10:53:47
110,Power Peak,power-peak,codecombat.com,5632661322961295f9428638,Battle over the peak of power! Command a pet to gather unique abilities at the shrines at the top of a mountain and survive longer than your opponent.,easy,1,1,2025-02-04 10:53:47
111,Eventful Skirmish,eventful-skirmish,codecombat.com,5632661322961295f9428638,Use pet hear and spawn events to protect the village.,easy,1,1,2025-02-04 10:53:47
112,Fast and Furry-ous,fast-and-furry-ous,codecombat.com,56462f935afde0c6fd30fc8c,Nobody can catch the Road Runner.,medium,2,1,2025-02-04 10:53:47
113,Escape to the Spring,escape-to-the-spring,codecombat.com,56462f935afde0c6fd30fc8c,"Use continue, break, time and gold to escape this place rich... and alive.",medium,2,1,2025-02-04 10:53:47
114,Valley of a Thousand Rocks,valley-of-a-thousand-rocks,codecombat.com,56462f935afde0c6fd30fc8c,Use all of your programming prowess to pass through the valley safely.,medium,2,1,2025-02-04 10:53:47
115,Master Of Camouflage,master-of-camouflage,codecombat.com,56462f935afde0c6fd30fc8c,Use continue to do nothing. Sometimes.,medium,2,1,2025-02-04 10:53:47
116,Sand Mushrooms,sand-mushrooms,codecombat.com,56462f935afde0c6fd30fc8c,"Drink mushrooms. Eat potions. Oh, vice versa.",medium,2,1,2025-02-04 10:53:47
117,Keeping Time,keeping-time,codecombat.com,56462f935afde0c6fd30fc8c,Raise funds to support your allies in time to fight off the ogre horde!,medium,2,1,2025-02-04 10:53:47
118,Continuous Alchemy,continuous-alchemy,codecombat.com,56462f935afde0c6fd30fc8c,Never give a water to a dehydrated Scout after midnight.,medium,2,1,2025-02-04 10:53:47
119,Hoarding Gold,hoarding-gold,codecombat.com,56462f935afde0c6fd30fc8c,You can get lost forever in the desert if you let the mirage of greed lead you.,medium,2,1,2025-02-04 10:53:47
120,Decoy Drill,decoy-drill,codecombat.com,56462f935afde0c6fd30fc8c,Gather gold to field test a new buildable unit: the decoy.,medium,2,1,2025-02-04 10:53:47
121,Valley of the King,valley-of-the-king,codecombat.com,56462f935afde0c6fd30fc8c,Attack while the skeleton's health is greater than 1/3 its maxHealth.,medium,2,1,2025-02-04 10:53:47
122,Crux of the Desert,crux-of-the-desert,codecombat.com,56462f935afde0c6fd30fc8c,Ogres are attacking from non-cardinal directions! Place fire-traps to teach them to never go against the poles again.,medium,2,1,2025-02-04 10:53:47
123,Mushroom Noise,mushroom-noise,codecombat.com,56462f935afde0c6fd30fc8c,Mushrooms in the desert aren't healthy.,medium,2,1,2025-02-04 10:53:47
124,Greed Protection,greed-protection,codecombat.com,56462f935afde0c6fd30fc8c,Use break statement when it's time to head to safety.,medium,2,1,2025-02-04 10:53:47
125,Key Traps,key-traps,codecombat.com,56462f935afde0c6fd30fc8c,"Those keys are so close, but don't hurry to take them yourself.",medium,2,1,2025-02-04 10:53:47
126,Medical Attention,medical-attention,codecombat.com,56462f935afde0c6fd30fc8c,Get help from a helpful wizard while you fend off an ogre attack.,medium,2,1,2025-02-04 10:53:47
127,Chain of Command,chain-of-command,codecombat.com,56462f935afde0c6fd30fc8c,"I'm all ears, Master.",medium,2,1,2025-02-04 10:53:47
128,Friendly Minefield,friendly-minefield,codecombat.com,56462f935afde0c6fd30fc8c,Usie position comparison to navigate a minefield.,medium,2,1,2025-02-04 10:53:47
129,Operation 'Killdeer',operation-killdeer,codecombat.com,56462f935afde0c6fd30fc8c,Show them a weakness and their bloodlust will blind them.,medium,2,1,2025-02-04 10:53:47
130,Thunderhooves,thunderhooves,codecombat.com,56462f935afde0c6fd30fc8c,Fence off the stampeding sand yaks to reach the next watering hole.,medium,2,1,2025-02-04 10:53:47
131,Minesweeper,minesweeper,codecombat.com,56462f935afde0c6fd30fc8c,Lead a band of hapless peasants through a treacherous canyon while you heroically trigger the mines.,medium,2,1,2025-02-04 10:53:47
132,Kithgard Enchanter,kithgard-enchanter,codecombat.com,56462f935afde0c6fd30fc8c,"Return to Kithgard Dungeon, this time with the power of functions!",medium,2,1,2025-02-04 10:53:47
133,Pet Engineer,pet-engineer,codecombat.com,56462f935afde0c6fd30fc8c,"Powerful battle machines. But, simple enough, even a pet can use them!",medium,2,1,2025-02-04 10:53:47
134,Interception,interception,codecombat.com,56462f935afde0c6fd30fc8c,A treasure trove in the desert! Unfortunately it seems ogres have gotten to it first. Protect your peasant while they gather the goods!,medium,2,1,2025-02-04 10:53:47
135,Crossroads,crossroads,codecombat.com,56462f935afde0c6fd30fc8c,A Sarven trading post is under siege! Defend it by checking which direction the ogres are attacking from.,medium,2,1,2025-02-04 10:53:47
136,Pet Translator,pet-translator,codecombat.com,56462f935afde0c6fd30fc8c,The Sdrawkcab Mercenary Band provides substantial firepower... If anyone could speak their language.,medium,2,1,2025-02-04 10:53:47
137,Sarven Gaps,sarven-gaps,codecombat.com,56462f935afde0c6fd30fc8c,Keep the oasis safe by building fences to hold back the enemy.,medium,2,1,2025-02-04 10:53:47
138,Dried Irrigation,dried-irrigation,codecombat.com,56462f935afde0c6fd30fc8c,Use relative cooridnates to move.,medium,2,1,2025-02-04 10:53:47
139,Pet Adjutant,pet-adjutant,codecombat.com,56462f935afde0c6fd30fc8c,"Nobody listens to me. Fluffy, you are my only friend.",medium,2,1,2025-02-04 10:53:47
140,Teleport Lasso,teleport-lasso,codecombat.com,56462f935afde0c6fd30fc8c,Why should we search for ogres if we can teleport them here?,medium,2,1,2025-02-04 10:53:47
141,Brawler Hunt,brawler-hunt,codecombat.com,56462f935afde0c6fd30fc8c,Big ogres require big guns.,medium,2,1,2025-02-04 10:53:47
142,Spring Thunder,spring-thunder,codecombat.com,56462f935afde0c6fd30fc8c,I love thunderstorms. The rain and lightning cleans the land and reveals shiny things.,medium,2,1,2025-02-04 10:53:47
143,Helpful Hunting,helpful-hunting,codecombat.com,56462f935afde0c6fd30fc8c,Determine which burls are sick using boolean AND.,medium,2,1,2025-02-04 10:53:47
144,Sarven Road,sarven-road,codecombat.com,56462f935afde0c6fd30fc8c,Watch out for ogre scouts on the road as you search for water.,medium,2,1,2025-02-04 10:53:47
145,Usual Day,usual-day,codecombat.com,56462f935afde0c6fd30fc8c,"Ogres, coins, booleans... I've seen it a hundred times. Let's make it shorter at least.",medium,2,1,2025-02-04 10:53:47
146,Warders,warders,codecombat.com,56462f935afde0c6fd30fc8c,Use boolean OR to defeat munchkins or throwers.,medium,2,1,2025-02-04 10:53:47
147,Logical Path,logical-path,codecombat.com,56462f935afde0c6fd30fc8c,Use logic to follow the wizard to his treasure.,medium,2,1,2025-02-04 10:53:47
148,Alchemic Power,alchemic-power,codecombat.com,56462f935afde0c6fd30fc8c,A skilled alchemist can change flow of a battle.,medium,2,1,2025-02-04 10:53:47
149,Nonandor,nonandor,codecombat.com,56462f935afde0c6fd30fc8c,Use logical operators to choose your actions wisely.,medium,2,1,2025-02-04 10:53:47
150,Logical Circle,logical-circle,codecombat.com,56462f935afde0c6fd30fc8c,Follow Lukacs deeper into the woods with more complex logic.,medium,2,1,2025-02-04 10:53:47
151,Oasis,oasis,codecombat.com,56462f935afde0c6fd30fc8c,Run a gauntlet of sand yaks to reach the oasis and quench your thirst.,medium,2,1,2025-02-04 10:53:47
152,Forest Shadow,forest-shadow,codecombat.com,56462f935afde0c6fd30fc8c,Lower than grass. Quieter than leaves.,medium,2,1,2025-02-04 10:53:47
153,Logical Conclusion,logical-conclusion,codecombat.com,56462f935afde0c6fd30fc8c,Journey to the astral plane and rescue Lukacs from the wizard conclave.,medium,2,1,2025-02-04 10:53:47
154,The Mighty Sand Yak,the-mighty-sand-yak,codecombat.com,56462f935afde0c6fd30fc8c,Test your nerves by dodging huge sand yaks on the open dunes!,medium,2,1,2025-02-04 10:53:47
155,Pet Explorer,pet-explorer,codecombat.com,56462f935afde0c6fd30fc8c,Use event data to identify the speaker who has the correct code.,medium,2,1,2025-02-04 10:53:47
156,Star Shower,star-shower,codecombat.com,56462f935afde0c6fd30fc8c,A star shower isn't only a terrific phenomenon but a good opportunity to get some money.,medium,2,1,2025-02-04 10:53:47
157,Dangerous Key,dangerous-key,codecombat.com,56462f935afde0c6fd30fc8c,The chest contains a trap. Choose the key wisely. Or listen to a wise person.,medium,2,1,2025-02-04 10:53:47
158,Salted Earth,salted-earth,codecombat.com,56462f935afde0c6fd30fc8c,Defend the start of a forest settlement.,medium,2,1,2025-02-04 10:53:47
159,Burls Beets Booleans,burls-beets-booleans,codecombat.com,56462f935afde0c6fd30fc8c,Can you beat the Burl's Boolean quiz?,medium,2,1,2025-02-04 10:53:47
160,Gems or Death,gems-or-death,codecombat.com,56462f935afde0c6fd30fc8c,"Use if-statements to decide: do you want gems, or do you want death?",medium,2,1,2025-02-04 10:53:47
161,Olympic Race,olympic-race,codecombat.com,56462f935afde0c6fd30fc8c,Sports can unite people. Even ogres and humans.,medium,2,1,2025-02-04 10:53:47
162,Friend and Foe,friend-and-foe,codecombat.com,56462f935afde0c6fd30fc8c,A brawl in the woods! Pick out friend from foe and prepare for a battle.,medium,2,1,2025-02-04 10:53:47
163,Cross Bones,cross-bones,codecombat.com,56462f935afde0c6fd30fc8c,"Head-to-head combat for control over the burning hot entrance to the desert.
Of course there are skeletons.
Who will win? Who will lose? Only the sands of time will tell!",medium,2,1,2025-02-04 10:53:47
164,Wild Alliance,wild-alliance,codecombat.com,56462f935afde0c6fd30fc8c,Use not equal operator to avoid attacking burls.,medium,2,1,2025-02-04 10:53:47
165,Passing Through,passing-through,codecombat.com,56462f935afde0c6fd30fc8c,You've found a village of peaceful ogres. Don't insult them!,medium,2,1,2025-02-04 10:53:47
166,Useful Competitors,useful-competitors,codecombat.com,56462f935afde0c6fd30fc8c,The battlefield is littered with coins and poison. Use peons to filter the poison and gather the coins!,medium,2,1,2025-02-04 10:53:47
167,Deja Brew,deja-brew,codecombat.com,56462f935afde0c6fd30fc8c,Singing with strings!,medium,2,1,2025-02-04 10:53:47
168,Forest Storm,forest-storm,codecombat.com,56462f935afde0c6fd30fc8c,"Use the equality operator, type property and return statements to achieve your goals in this wild storm.",medium,2,1,2025-02-04 10:53:47
169,Wonderglade,wonderglade,codecombat.com,56462f935afde0c6fd30fc8c,"If you need an item, you can find it in Wonderglade.",medium,2,1,2025-02-04 10:53:47
170,Cursed Wonderglade,cursed-wonderglade,codecombat.com,56462f935afde0c6fd30fc8c,Withered trees. Snow. The scary statue. What has happened to our Wonderglade?!,medium,2,1,2025-02-04 10:53:47
171,Agrippa Returned,agrippa-returned,codecombat.com,56462f935afde0c6fd30fc8c,Streamline your code even more with advanced functions.,medium,2,1,2025-02-04 10:53:47
172,Ogre Invaders,ogre-invaders,codecombat.com,56462f935afde0c6fd30fc8c,Write a function with a return statement to target ogres.,medium,2,1,2025-02-04 10:53:47
